8,40
8,49
8,23
8,6194
23,49
23,8
23,6194
23,1
6194,8
6194,23
6194,1
6194,120
1,23
1,6194
1,120
1,7945
120,6194
120,1
120,7945
120,1117
7945,1
7945,120
7945,1117
7945,6
1117,120
1117,7945
1117,6
1117,8
6,7945
6,1117
6,8
6,664
8,1117
8,6
8,664
8,1635
664,6
664,8
664,1635
664,24
1635,8
1635,664
1635,24
1635,143
24,664
24,1635
24,143
24,8676
143,1635
143,24
143,8676
143,0
8676,24
8676,143
8676,0
8676,296
0,143
0,8676
0,296
0,200
296,8676
296,0
296,200
296,19
200,0
200,296
200,19
200,4
