7,7
7,51
7,22
7,4642
22,51
22,7
22,4642
22,1
4642,7
4642,22
4642,1
4642,116
1,22
1,4642
1,116
1,6712
116,4642
116,1
116,6712
116,1012
6712,1
6712,116
6712,1012
6712,6
1012,116
1012,6712
1012,6
1012,7
6,6712
6,1012
6,7
6,628
7,1012
7,6
7,628
7,1570
628,6
628,7
628,1570
628,23
1570,7
1570,628
1570,23
1570,163
23,628
23,1570
23,163
23,599
163,1570
163,23
163,599
163,0
599,23
599,163
599,0
599,317
0,163
0,599
0,317
0,185
317,599
317,0
317,185
317,19
185,0
185,317
185,19
185,4
